id,credit,sex,education,mariage,age
105,60000,2,2,2,26
106,70000,2,2,2,24
107,80000,2,2,1,36
108,350000,1,1,2,52
109,130000,1,2,2,38
110,360000,1,2,1,35
111,330000,2,1,1,31
112,50000,1,3,1,47
113,280000,1,2,1,41
114,100000,2,1,2,24
115,50000,1,2,2,41
116,30000,1,1,2,24
117,240000,1,1,2,28
118,80000,1,2,2,26
119,400000,1,2,1,34
120,240000,2,2,2,38
121,50000,1,3,2,37
122,450000,1,1,1,40
123,110000,2,1,1,48
124,310000,2,2,1,35
125,20000,1,1,2,27
126,20000,1,2,2,23
127,200000,1,3,2,52
128,180000,1,1,1,36
129,50000,1,2,1,51
130,60000,1,3,1,55
131,30000,2,1,2,23
132,240000,1,1,2,41
133,420000,1,2,1,34
134,330000,1,3,1,46
135,30000,2,2,2,22
136,240000,1,2,1,34
137,150000,1,1,2,27
138,210000,2,2,1,33
139,50000,2,3,1,51
140,50000,1,1,2,24
141,240000,1,1,2,47
142,180000,1,2,2,28
143,50000,1,2,2,23
144,170000,1,2,2,29
145,20000,1,1,2,29
146,50000,1,1,2,28
147,170000,2,2,2,27
148,200000,1,1,2,34
149,80000,2,2,1,23
150,260000,2,1,1,60
151,140000,1,2,1,32
152,80000,1,1,2,25
153,350000,1,1,2,41
154,280000,2,2,1,56
155,30000,2,3,2,26
156,140000,1,1,1,34
157,200000,2,1,2,37
158,200000,2,3,2,30
159,210000,1,3,1,45
160,50000,1,3,1,57
161,30000,1,1,2,-50
162,50000,1,2,2,27
163,290000,1,3,1,47
164,250000,2,1,1,34
165,60000,2,2,1,46
166,110000,2,1,2,27
167,370000,1,1,2,50
168,100000,1,2,1,27
169,90000,2,2,1,35
170,50000,2,2,2,22
171,270000,1,2,2,37
172,300000,2,1,2,30
173,50000,2,2,2,22
174,50000,2,1,2,24
175,360000,1,1,2,29
176,130000,1,3,1,56
177,80000,1,1,2,30
178,50000,1,2,2,30
179,20000,2,2,2,22
180,80000,2,2,1,29
181,240000,1,1,2,37
182,80000,2,3,2,35
183,500000,2,1,1,47
184,60000,2,2,1,24
185,20000,1,2,2,25
186,100000,2,2,1,38
187,360000,2,1,2,32
188,200000,2,3,2,47
189,130000,2,2,1,34
190,20000,2,2,2,31
191,310000,1,1,2,32
192,60000,2,1,2,27
193,180000,2,1,2,29
194,180000,2,1,2,24
195,50000,1,2,1,36
196,50000,2,1,2,24
197,150000,2,2,1,34
198,20000,2,1,2,22
199,500000,2,1,1,34
200,30000,2,3,2,22
201,180000,2,1,1,38
202,140000,1,1,2,31
203,140000,2,1,2,26
204,120000,1,2,2,26
205,360000,2,2,1,48
206,20000,1,3,1,43
207,100000,1,1,1,47
208,210000,2,2,1,41
209,80000,2,2,2,24
210,330000,2,1,1,50
211,220000,1,1,2,24
212,210000,2,1,1,38
213,40000,2,3,1,43
214,30000,1,2,2,39
215,470000,1,2,2,27
216,30000,1,3,1,42
217,240000,2,2,1,36
218,80000,1,2,2,36
219,110000,2,3,0,31
220,310000,2,1,2,38
221,360000,2,1,1,40
222,330000,2,3,2,45
223,300000,2,2,2,35
224,320000,2,2,2,33
225,50000,2,3,2,37
226,170000,2,1,2,28
227,350000,1,3,1,44
228,20000,1,2,1,37
229,50000,1,2,2,23
230,20000,2,3,2,24
231,50000,2,1,2,24
232,20000,1,2,2,23
233,50000,1,2,1,26
234,190000,1,2,2,34
235,60000,2,2,1,33
236,80000,1,1,2,35
237,150000,2,2,2,27
238,210000,2,1,2,31
239,240000,2,3,1,50
240,140000,2,2,3,41
241,60000,2,1,2,28
242,50000,1,1,2,39
243,50000,2,2,2,27
244,180000,2,1,2,32
245,30000,2,1,2,40
246,20000,2,2,2,40
247,250000,2,2,1,75
248,100000,2,2,2,27
249,330000,1,1,2,25
250,50000,1,3,1,46
251,50000,2,2,2,26
252,30000,1,2,2,28
253,140000,2,2,2,26
254,160000,2,1,2,28
255,400000,2,2,2,29
256,50000,1,2,1,25
257,140000,2,2,1,48
258,160000,2,2,1,33
259,100000,2,3,1,43
260,220000,1,1,1,48
261,510000,2,1,2,29
262,50000,1,2,2,29
263,160000,2,1,1,38
264,230000,2,1,2,37
265,80000,2,1,2,37
266,150000,2,2,1,25
267,10000,1,3,2,23
268,130000,2,3,2,49
269,40000,2,1,2,48
270,50000,1,2,2,27
271,100000,1,3,2,32
272,120000,1,1,1,34
273,260000,2,1,2,58
274,200000,2,2,2,33
275,360000,2,2,2,28
276,70000,2,2,2,36
277,460000,1,1,1,40
278,50000,2,1,2,26
279,50000,1,3,1,33
280,250000,2,2,1,31
281,30000,2,1,2,27
282,270000,1,2,1,44
283,180000,2,3,2,30
284,100000,2,1,2,28
285,230000,2,3,1,32
286,210000,2,1,1,46
287,210000,1,1,2,38
288,440000,2,2,1,46
289,100000,2,2,2,25
290,240000,2,2,1,46
291,280000,1,1,2,33
292,50000,2,2,2,22
293,30000,1,2,1,43
294,10000,1,2,2,27
295,130000,1,1,2,29
296,200000,1,1,2,31
297,120000,2,2,1,29
298,210000,2,2,1,36
299,280000,2,1,1,36
300,300000,1,1,2,34
301,100000,1,2,2,37
302,440000,2,1,2,36
303,50000,2,3,1,40
304,20000,2,1,2,-20
305,200000,2,1,2,27
306,110000,2,2,2,26
307,500000,2,2,1,36
308,300000,2,2,1,27
309,30000,1,3,1,55
310,60000,2,1,2,27
311,400000,2,2,1,38
312,180000,2,2,1,34
313,20000,1,1,2,40
314,200000,2,3,1,49
315,100000,1,1,2,27
316,60000,1,2,2,23
317,110000,2,2,2,36
318,260000,2,3,1,53
319,50000,2,3,1,46
320,180000,1,2,2,29
321,110000,1,2,2,29
322,340000,2,1,2,27
323,50000,1,2,2,24
324,230000,2,2,1,28
325,360000,2,2,2,32
326,210000,1,2,2,43
327,220000,2,2,1,41
328,60000,2,2,1,34
329,340000,1,2,1,55
330,150000,1,1,1,40
331,200000,2,2,1,37
332,130000,2,2,2,40
333,60000,2,1,2,28
334,400000,2,2,1,43
335,20000,1,1,2,27
336,190000,2,1,2,28
337,260000,2,1,2,30
338,140000,2,2,2,31
339,50000,2,2,1,31
340,120000,2,1,2,34
341,240000,2,2,2,30
342,50000,1,2,2,36
343,200000,2,1,2,29
344,180000,1,1,1,39
345,180000,2,1,2,26
346,160000,2,1,2,29
347,100000,2,2,2,26
348,50000,2,2,2,29
349,140000,2,2,2,31
350,30000,2,2,2,26
351,90000,1,1,2,26
352,200000,1,1,1,36
353,380000,1,1,2,30
354,80000,2,2,2,43
355,50000,1,3,1,58
356,180000,1,2,1,45
357,240000,2,2,2,26
358,380000,1,2,2,34
359,110000,2,4,2,24
360,260000,1,1,1,34
361,500000,2,2,2,23
362,320000,2,2,2,30
363,50000,1,2,2,32
364,110000,1,1,1,40
365,230000,2,1,2,35
366,330000,2,2,1,56
367,50000,2,2,1,61
368,10000,1,2,2,24
369,300000,1,1,1,40
370,20000,2,2,1,32
371,180000,1,2,1,36
372,160000,1,1,2,30
373,90000,2,1,2,34
374,30000,1,3,3,54
375,180000,1,1,1,46
376,30000,1,3,1,58
377,30000,1,2,1,43
378,140000,2,1,2,28
379,210000,1,1,2,30
380,50000,1,2,2,31
381,130000,2,2,2,29
382,50000,2,2,1,37
383,140000,1,3,1,36
384,170000,2,2,2,28
385,80000,1,2,2,25
386,410000,2,5,1,42
387,80000,2,1,2,29
388,80000,1,3,1,73
389,150000,1,2,1,43
390,260000,1,1,1,30
391,350000,1,1,1,38
392,280000,2,2,1,39
393,310000,1,2,1,44
394,140000,2,2,2,29
395,360000,1,1,1,51
396,140000,2,1,2,27
397,100000,1,1,2,38
398,50000,2,2,2,22
399,210000,2,2,1,30
400,120000,2,2,2,25
401,240000,1,1,2,29
402,60000,2,3,3,42
403,150000,1,1,2,41
404,30000,1,2,1,48
405,160000,2,1,2,29
406,200000,1,1,1,52
407,120000,2,2,1,25
408,500000,1,1,1,37
409,320000,2,1,2,27
410,280000,1,1,2,31
411,60000,2,1,2,23
412,200000,2,1,1,38
413,230000,2,1,1,32
414,230000,2,2,2,27
415,480000,2,3,1,41
416,50000,2,3,1,35
417,200000,2,1,2,31
418,50000,2,1,2,30
419,50000,1,2,1,48
420,260000,2,1,2,36
421,30000,1,1,2,24
422,440000,2,1,2,29
423,230000,2,2,2,38
424,200000,1,2,1,38
425,490000,2,2,1,30
426,80000,2,2,1,32
427,20000,2,3,2,49
428,170000,2,1,2,31
429,70000,1,1,2,27
430,210000,2,2,2,33
431,90000,2,2,2,25
432,390000,2,1,2,27
433,110000,2,1,2,29
434,580000,2,1,1,36
435,360000,1,3,1,55
436,270000,2,2,1,32
437,60000,2,1,2,27
438,110000,1,3,1,37
439,50000,2,1,1,25
440,80000,2,1,2,23
441,50000,1,2,2,23
442,100000,1,1,2,32
443,30000,2,1,2,26
444,200000,2,1,2,27
445,240000,1,1,2,44
446,220000,1,2,2,34
447,160000,2,1,2,28
448,180000,2,1,1,53
449,200000,1,4,1,42
450,140000,2,3,1,30
451,380000,1,1,1,51
452,600000,1,1,1,53
453,260000,1,2,2,37
454,200000,2,1,2,26
455,80000,1,2,2,42
456,40000,1,2,2,39
457,130000,1,3,2,39
458,50000,1,1,2,32
459,230000,2,2,1,41
460,70000,1,2,1,48
461,180000,2,2,1,38
462,80000,2,2,1,36
463,290000,2,2,2,26
464,230000,2,1,2,28
465,170000,2,3,3,56
466,230000,1,1,1,59
467,220000,1,1,2,38
468,230000,1,2,2,32
469,500000,1,2,1,38
470,90000,2,1,1,41
471,390000,2,3,2,35
472,400000,2,2,2,41
473,180000,1,2,1,34
474,60000,1,3,1,38
475,120000,2,2,1,32
476,60000,2,2,2,29
477,50000,1,1,2,44
478,70000,2,2,1,37
479,500000,2,1,1,38
480,200000,1,1,2,31
481,250000,2,2,1,40
482,140000,1,2,2,26
483,70000,2,2,2,28
484,90000,1,3,1,48
485,100000,2,2,1,43
486,190000,1,2,1,31
487,230000,2,1,1,42
488,320000,1,2,1,39
489,220000,2,2,1,36
490,260000,2,1,1,34
491,90000,2,2,2,32
492,30000,2,2,1,43
493,260000,1,2,2,30
494,170000,2,2,2,28
495,80000,2,1,1,28
496,50000,1,1,1,41
497,200000,2,3,2,47
498,20000,1,2,2,23
499,250000,2,1,1,49
500,20000,1,1,1,38
501,30000,2,2,1,38
502,90000,2,2,1,35
503,230000,2,6,2,46
504,130000,2,1,1,33
505,30000,1,6,1,53
506,160000,1,1,2,35
507,500000,2,2,2,43
508,180000,2,2,2,28
509,80000,2,2,1,30
510,120000,1,1,2,26
511,130000,1,2,1,31
512,120000,2,2,2,35
513,360000,1,1,2,28
514,50000,1,2,2,23
515,20000,2,2,2,23
516,100000,1,3,1,56
517,70000,1,3,1,32
518,50000,1,2,1,47
519,10000,2,2,2,22
520,290000,2,1,1,34
521,30000,2,1,1,31
522,410000,2,2,2,27
523,360000,1,1,2,28
524,140000,2,2,1,42
525,210000,2,1,2,32
526,220000,2,2,2,27
527,20000,1,2,2,27
528,620000,2,2,1,45
529,360000,1,1,2,26
530,20000,2,2,2,21
531,50000,1,2,2,23
532,50000,1,2,3,30
533,10000,1,2,2,46
534,100000,2,3,1,50
535,50000,1,1,2,26
536,60000,1,2,2,25
537,440000,2,1,2,35
538,120000,1,2,1,44
539,50000,2,1,2,52
540,110000,2,2,1,40
541,200000,2,1,2,38
542,150000,2,1,2,28
543,30000,2,2,1,36
544,100000,2,1,2,24
545,360000,2,1,1,34
546,390000,2,1,2,31
547,220000,2,1,1,41
548,160000,2,2,2,25
549,230000,2,1,2,28
550,120000,1,1,2,27
551,100000,1,3,1,52
552,190000,2,1,2,41
553,50000,1,1,1,56
554,240000,2,1,1,42
555,40000,2,2,2,24
556,630000,2,2,1,47
557,160000,2,1,1,33
558,110000,2,2,2,32
559,20000,1,2,2,29
560,210000,2,3,1,53
561,270000,1,1,2,34
562,360000,2,2,2,52
563,60000,2,2,1,42
564,360000,1,2,2,38
565,390000,2,1,2,45
566,250000,2,3,2,35
567,90000,2,1,2,24
568,360000,1,1,2,28
569,50000,1,3,2,26
570,270000,2,1,1,40
571,200000,2,1,2,29
572,50000,2,2,2,23
573,350000,1,1,2,33
574,160000,2,2,2,60
575,80000,2,3,1,49
576,290000,1,1,1,53
577,270000,2,1,2,28
578,80000,1,1,2,31
579,50000,1,2,2,36
580,30000,1,2,1,35
581,30000,1,2,2,28
582,90000,1,2,2,33
583,160000,1,1,2,26
584,80000,2,3,2,53
585,50000,1,2,2,42
586,20000,2,1,2,25
587,220000,1,1,1,43
588,210000,1,3,2,25
589,130000,2,2,2,29
590,260000,2,2,1,31
591,230000,2,1,1,30
592,160000,1,1,2,34
593,50000,1,1,1,35
594,80000,1,2,1,32
595,110000,1,3,2,46
596,200000,1,1,1,43
597,360000,1,2,2,29
598,210000,2,3,2,31
599,80000,2,2,2,24
600,300000,2,2,1,36
601,310000,2,2,1,43
602,30000,1,3,1,59
603,170000,1,1,1,53
604,140000,2,2,2,28
605,180000,2,2,2,31
606,50000,1,1,2,34
607,50000,2,2,1,36
608,110000,2,1,2,24
609,450000,2,3,1,36
610,200000,2,2,1,34
611,220000,1,1,2,43
612,360000,2,1,2,29
613,50000,1,2,1,37
614,40000,1,2,2,23
615,190000,2,2,1,37
616,150000,1,1,2,33
617,200000,2,1,1,37
618,270000,2,2,1,56
619,60000,1,1,2,25
620,200000,2,2,1,39
621,150000,2,2,1,39
622,180000,2,2,2,28
623,90000,2,1,2,27
624,360000,2,2,1,37
625,90000,2,1,2,24
626,20000,2,2,2,24
627,70000,1,1,1,46
628,230000,1,1,1,39
629,30000,1,3,1,48
630,200000,2,3,3,45
631,100000,1,3,2,49
632,50000,2,2,2,23
633,20000,2,3,1,25
634,210000,2,2,1,47
635,110000,1,3,1,56
636,20000,2,3,1,44
637,50000,2,3,1,49
638,50000,1,2,1,41
639,400000,2,1,2,40
640,170000,1,2,2,31
641,280000,1,2,1,42
642,130000,2,3,1,28
643,210000,2,2,2,32
644,370000,1,2,2,28
645,30000,2,2,1,31
646,150000,1,3,2,39
647,60000,1,3,1,31
648,80000,2,2,2,24
649,280000,2,2,1,44
650,20000,2,2,2,46
651,270000,1,1,2,32
652,240000,2,2,2,26
653,20000,2,1,2,22
654,450000,2,1,1,42
655,10000,1,2,2,33
656,280000,1,2,1,39
657,290000,2,3,2,27
658,190000,2,1,2,28
659,80000,2,1,2,23
660,280000,2,2,2,28
661,160000,2,1,1,33
662,90000,1,2,1,40
663,140000,2,1,2,37
664,50000,1,1,2,22
665,40000,2,2,1,32
666,130000,2,3,1,43
667,70000,2,3,1,27
668,30000,2,2,1,35
669,100000,2,3,1,35
670,20000,2,1,1,30
671,30000,2,2,2,34
672,20000,1,2,1,34
673,100000,2,1,2,28
674,30000,1,2,2,25
675,320000,2,1,1,41
676,90000,1,3,2,42
677,190000,1,2,2,40
678,200000,1,1,2,28
679,300000,2,2,2,31
680,30000,2,1,2,56
681,110000,2,2,3,45
682,230000,2,1,2,29
683,230000,2,1,1,35
684,310000,2,2,2,28
685,320000,1,1,1,40
686,360000,1,1,1,47
687,20000,2,3,1,41
688,170000,2,2,2,27
689,140000,1,1,1,40
690,80000,1,2,2,32
691,150000,1,2,2,35
692,170000,1,2,2,27
693,200000,2,2,1,29
694,70000,1,1,2,30
695,320000,1,2,1,37
696,150000,2,1,2,29
697,50000,2,1,1,34
698,90000,2,2,2,34
699,280000,1,1,1,41
700,300000,2,1,2,31
701,400000,2,2,2,40
702,200000,2,1,1,27
703,10000,2,3,2,22
704,50000,2,2,3,30
705,30000,2,2,3,22
706,50000,1,1,2,26
707,50000,1,2,1,38
708,30000,2,3,1,46
709,20000,1,2,2,24
710,20000,1,2,2,49
711,50000,1,1,3,49
712,30000,2,2,1,42
713,360000,2,1,1,30
714,170000,1,2,1,42
715,400000,2,1,2,31
716,50000,2,2,1,49
717,160000,2,2,2,27
718,70000,2,2,1,33
719,150000,2,1,1,35
720,80000,2,2,2,48
721,30000,2,2,2,22
722,10000,1,2,2,22
723,180000,2,1,2,27
724,320000,1,1,1,47
725,80000,2,2,2,34
726,10000,1,2,1,45
727,360000,2,2,2,39
728,450000,1,2,2,33
729,330000,2,2,2,29
730,60000,1,1,2,29
731,50000,2,3,2,26
732,200000,1,2,1,38
733,120000,1,1,2,34
734,160000,2,1,1,37
735,110000,1,2,1,57
736,70000,2,3,1,50
737,150000,2,3,2,28
738,610000,2,1,2,31
739,110000,2,1,2,25
740,80000,2,2,2,25
741,170000,2,2,1,33
742,110000,2,1,2,30
743,140000,2,1,1,51
744,70000,1,1,2,51
745,260000,2,2,1,46
746,170000,1,3,2,38
747,50000,2,2,1,34
748,300000,2,3,1,34
749,150000,2,1,2,31
750,50000,2,2,2,25
751,50000,2,2,1,26
752,90000,2,1,2,25
753,50000,1,2,2,26
754,500000,2,2,2,43
755,470000,2,2,1,36
756,230000,1,2,2,58
757,140000,2,2,2,26
758,230000,2,2,1,30
759,420000,2,2,2,31
760,30000,2,2,2,24
761,50000,2,2,2,52
762,140000,2,2,2,24
763,260000,2,2,1,35
764,90000,2,3,2,29
765,240000,2,2,1,33
766,510000,2,1,2,35
767,110000,2,2,1,35
768,210000,2,1,2,28
769,220000,1,2,1,40
770,200000,2,1,1,35
771,360000,2,2,2,53
772,260000,1,1,2,44
773,20000,1,2,1,33
774,120000,2,2,1,32
775,50000,2,1,2,33
776,60000,2,1,2,26
777,200000,1,1,2,26
778,20000,1,2,2,26
779,50000,2,1,1,32
780,50000,2,2,2,31
781,230000,1,1,2,29
782,50000,1,2,1,27
783,100000,2,1,2,28
784,210000,2,1,1,42
785,230000,2,2,1,32
786,500000,2,1,2,26
787,370000,2,1,2,38
788,230000,2,1,1,35
789,80000,1,2,2,29
790,60000,2,2,2,29
791,30000,2,2,2,51
792,70000,1,1,2,27
793,410000,1,1,2,32
794,280000,2,3,1,40
795,50000,2,1,1,34
796,100000,2,2,1,30
797,230000,2,1,2,29
798,50000,2,1,2,22
799,100000,2,1,2,48
800,210000,2,2,1,35
801,400000,1,1,2,37
802,20000,1,2,2,25
803,50000,2,3,1,44
804,230000,2,1,2,28
805,220000,1,2,2,29
806,300000,2,1,1,36
807,80000,2,2,2,23
808,20000,2,3,2,36
809,190000,2,1,2,26
810,160000,2,2,0,37
811,120000,2,1,3,44
812,700000,2,1,1,39
813,140000,2,1,2,24
814,300000,2,3,1,29
815,120000,1,3,1,33
816,280000,2,2,1,39
817,70000,1,3,1,51
818,20000,2,3,2,24
819,150000,2,2,1,45
820,60000,1,1,2,30
821,200000,2,3,0,51
822,50000,2,2,2,24
823,150000,1,2,1,50
824,20000,2,1,2,22
825,40000,1,1,2,27
826,170000,2,2,2,33
827,50000,2,2,1,24
828,10000,1,2,2,37
829,200000,2,2,1,58
830,50000,2,2,1,48
831,320000,1,1,2,28
832,20000,2,3,1,24
833,470000,2,2,1,27
834,230000,2,3,2,30
835,20000,2,1,2,23
836,30000,2,3,2,53
837,80000,2,2,2,23
838,110000,2,2,1,55
839,420000,1,2,1,34
840,500000,1,1,1,43
841,80000,2,2,2,22
842,350000,2,2,1,31
843,30000,2,2,1,32
844,110000,2,2,2,33
845,500000,1,3,1,39
846,490000,2,1,1,38
847,300000,2,2,1,34
848,50000,1,2,3,42
849,150000,1,3,1,37
850,80000,2,3,1,57
851,40000,2,2,2,23
852,30000,1,2,2,32
853,50000,1,1,1,37
854,140000,2,2,2,23
855,50000,2,3,2,49
856,30000,2,2,2,25
857,40000,2,1,2,29
858,100000,2,3,1,43
859,130000,1,2,2,29
860,20000,2,2,2,27
861,50000,1,1,2,26
862,260000,1,1,1,41
863,30000,2,3,2,52
864,10000,2,2,1,31
865,200000,1,1,2,32
866,30000,2,2,1,46
867,180000,2,2,2,35
868,100000,1,1,2,35
869,140000,2,2,1,39
870,290000,2,2,2,34
871,20000,2,2,3,52
872,80000,2,3,1,40
873,500000,2,3,1,38
874,180000,1,1,1,45
875,20000,2,3,1,40
876,30000,2,2,1,25
877,150000,1,1,2,33
878,280000,2,2,2,27
879,50000,2,2,1,43
880,20000,2,2,1,43
881,200000,1,1,2,30
882,210000,2,2,1,49
883,230000,2,1,2,38
884,50000,1,3,2,57
885,50000,1,3,2,55
886,70000,2,2,2,23
887,310000,1,1,2,30
888,180000,2,2,1,30
889,90000,2,2,2,24
890,390000,1,2,2,28
891,150000,2,3,1,34
892,400000,1,2,2,37
893,80000,2,2,1,32
894,320000,1,1,2,27
895,240000,2,2,1,37
896,200000,1,1,2,31
897,110000,1,1,3,55
898,170000,2,1,2,28
899,90000,2,3,3,51
900,200000,1,1,1,36
901,360000,1,1,2,30
902,140000,2,1,1,36
903,220000,1,2,2,25
904,100000,1,3,1,50
905,80000,2,2,2,40
906,30000,2,2,2,27
907,50000,1,1,2,30
908,120000,2,2,2,26
909,50000,1,1,2,27
910,360000,2,1,2,27
911,90000,2,1,2,25
912,500000,1,1,2,32
913,140000,2,3,1,46
914,30000,1,3,1,45
915,70000,1,3,1,30
916,200000,1,1,1,39
917,350000,1,1,1,48
918,120000,1,1,2,32
919,240000,1,1,2,46
920,90000,2,1,2,23
921,260000,2,1,2,33
922,50000,2,1,2,24
923,110000,1,1,1,40
924,20000,2,1,2,24
925,30000,2,2,2,24
926,180000,1,1,2,27
927,20000,1,2,1,46
928,50000,2,2,2,22
929,180000,2,1,2,36
930,200000,1,1,1,34
931,260000,2,2,2,24
932,320000,1,1,1,60
933,160000,2,2,2,29
934,30000,1,2,2,32
935,50000,2,2,1,36
936,50000,1,2,2,30
937,90000,2,2,2,29
938,240000,1,1,2,34
939,180000,2,2,1,32
940,200000,2,2,1,32
941,50000,2,1,2,25
942,50000,1,2,1,44
943,330000,2,1,1,37
944,80000,2,2,2,24
945,50000,2,2,2,23
946,360000,2,1,2,29
947,240000,2,2,1,37
948,50000,1,2,1,59
949,470000,1,2,2,33
950,160000,2,3,1,51
951,30000,1,1,1,27
952,80000,2,2,1,32
953,500000,2,3,2,42
954,180000,1,2,2,39
955,110000,2,2,1,46
956,160000,1,1,1,41
957,210000,2,2,2,30
958,200000,2,1,1,34
959,350000,1,1,2,35
960,250000,1,1,2,41
961,380000,1,1,2,43
962,30000,1,2,2,47
963,200000,1,2,2,31
964,30000,1,2,2,30
965,50000,1,2,2,24
966,500000,1,1,1,36
967,30000,1,1,2,28
968,220000,2,1,1,36
969,20000,2,2,1,27
970,180000,2,2,1,32
971,300000,1,1,1,42
972,130000,2,2,1,33
973,180000,2,3,1,39
974,150000,2,1,3,30
975,140000,1,2,1,30
976,50000,2,2,2,22
977,20000,1,2,2,25
978,180000,1,1,2,28
979,180000,1,2,2,26
980,150000,2,3,1,54
981,70000,2,1,2,24
982,30000,1,2,2,29
983,500000,1,1,2,36
984,60000,1,3,1,49
985,50000,2,1,2,23
986,130000,1,3,2,43
987,260000,2,2,1,33
988,380000,1,3,1,53
989,360000,2,2,2,25
990,50000,1,3,1,54
991,50000,2,3,1,39
992,260000,2,1,1,44
993,80000,2,2,2,27
994,360000,2,1,2,25
995,290000,2,1,2,29
996,200000,1,1,2,39
997,140000,1,1,1,45
998,360000,1,1,1,38
999,50000,2,2,2,23
1000,120000,1,2,2,25
1001,100000,1,2,1,29
1002,200000,2,2,1,28
1003,90000,2,2,1,40
1004,360000,1,1,2,36
1005,150000,2,3,2,30
1006,140000,1,1,2,29
1007,200000,2,2,2,36
1008,170000,2,2,1,37
1009,30000,1,2,2,34
1010,80000,2,1,2,27
1011,280000,1,1,2,31
1012,410000,2,1,1,31
1013,450000,1,1,2,38
1014,80000,1,2,2,36
1015,360000,1,1,1,46
1016,130000,2,1,1,36
1017,160000,2,1,2,26
1018,140000,2,3,2,57
1019,240000,2,3,1,40
1020,180000,2,3,0,45
1021,70000,1,1,3,57
1022,150000,2,2,2,25
1023,210000,2,3,1,37
1024,200000,2,1,1,35
1025,310000,1,2,2,33
1026,180000,1,1,1,38
1027,300000,1,2,2,31
1028,450000,2,1,2,41
1029,200000,1,1,2,33
1030,30000,2,2,1,67
1031,400000,2,1,1,40
1032,170000,1,1,2,33
1033,140000,2,1,2,31
1034,200000,2,2,2,35
1035,60000,2,2,3,39
1036,60000,1,2,2,27
1037,150000,1,1,2,23
1038,180000,1,3,1,54
1039,50000,2,3,2,23
1040,50000,1,3,2,24
1041,20000,1,2,2,26
1042,230000,2,2,2,52
1043,110000,2,2,1,42
1044,90000,2,1,2,36
1045,20000,2,1,2,22
1046,30000,2,1,2,23
1047,220000,1,3,1,30
1048,140000,2,3,2,24
1049,300000,2,1,1,42
1050,100000,1,2,1,49
1051,110000,1,2,2,31
1052,270000,2,3,2,33
1053,30000,1,1,1,42
1054,70000,1,3,2,41
1055,230000,1,2,1,53
1056,20000,1,2,2,23
1057,190000,2,1,2,33
1058,20000,2,2,1,29
1059,80000,2,3,1,67
1060,20000,1,3,1,33
1061,60000,2,3,1,34
1062,50000,1,2,1,49
1063,280000,2,2,1,56
1064,300000,1,1,1,42
1065,30000,2,3,1,55
1066,270000,2,2,1,25
1067,100000,1,3,2,30
1068,240000,1,2,2,43
